trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.05, 'e': 0.9999999999643333}",25,0,-73.89734610604503,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
45,False,"{'a': 0.05, 'e': 0.9999999999274043}",25,0,-38.9998626671799,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
46,False,"{'a': 0.05, 'e': 0.9999999998553103}",25,0,-88.0625809128733,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
47,False,"{'a': 0.05, 'e': 0.9999999997174395}",20,7,-47.322599206790834,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.05, 'e': 0.9999999994590031}",20,7,-9.481247790996962,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
49,False,"{'a': 0.05, 'e': 0.9999999989838887}",20,0,-182.49334425189014,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
50,False,"{'a': 0.05, 'e': 0.9999999981267431}",25,0,-141.92778971338032,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
51,False,"{'a': 0.05, 'e': 0.99999999660842}",25,0,-107.81701586210986,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
52,False,"{'a': 0.05, 'e': 0.9999999939662471}",20,0,-162.9119131418747,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
53,False,"{'a': 0.05, 'e': 0.9999999894469287}",25,8,-58.33445857456275,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
54,False,"{'a': 0.05, 'e': 0.9999999818450669}",20,0,-139.3970827310091,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
55,False,"{'a': 0.05, 'e': 0.999999969264029}",25,0,-127.30018761479013,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
56,False,"{'a': 0.05, 'e': 0.9999999487679748}",30,0,-304.2233905603982,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 5}",0
57,False,"{'a': 0.05, 'e': 0.9999999158840924}",30,0,-215.36847776075942,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
58,False,"{'a': 0.05, 'e': 0.9999998639023623}",20,0,-148.50841874141645,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
59,False,"{'a': 0.05, 'e': 0.9999997829064251}",20,0,-48.67367158823595,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.05, 'e': 0.9999996584535197}",20,0,-54.347969412203085,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
61,False,"{'a': 0.05, 'e': 0.9999994698042339}",25,0,-52.47194854769436,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
62,False,"{'a': 0.05, 'e': 0.9999991875845126}",35,0,-238.22283045795447,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 5}",0
63,False,"{'a': 0.05, 'e': 0.9999987707436779}",20,0,-148.99504276307798,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
64,False,"{'a': 0.05, 'e': 0.9999981626541408}",20,0,-110.50426063497225,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
65,False,"{'a': 0.05, 'e': 0.9999972861821629}",25,0,-61.125804594954474,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
66,False,"{'a': 0.05, 'e': 0.9999960375458882}",20,0,-28.332430441652676,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
67,False,"{'a': 0.05, 'e': 0.9999942787683728}",25,0,-215.57511855656867,"{0: 10, 1: 2, 2: 10, 3: 0, 4: 3}",0
68,False,"{'a': 0.05, 'e': 0.9999918285311205}",25,0,-225.47623051270173,"{0: 14, 1: 1, 2: 3, 3: 4, 4: 3}",0
69,False,"{'a': 0.05, 'e': 0.9999884512391891}",20,0,-123.41920481543261,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
